"iso3","pais","anio","PIB_real","CO2_total","crecimiento_PIB","crecimiento_CO2","intensidad_carbono","indice_PIB","indice_CO2","renovables_electricidad","intensidad_kg_usd"
"GTM","Guatemala",2000,37033802897.7301,9.6791,NA,NA,2.61358522286493e-10,100,100,58.6068121693122,0.261358522286493
"GTM","Guatemala",2001,37897644076.0793,10.1703,2.33257486608847,5.07485200070255,2.68362328264606e-10,102.332574866088,105.074852000703,47.5537449075525,0.268362328264606
"GTM","Guatemala",2002,39352643430.8267,10.6383,3.83928708556789,4.60163417008348,2.70332538618398e-10,106.261416197251,109.910012294532,41.0421686746988,0.270332538618398
"GTM","Guatemala",2003,40360219725.0047,10.6273,2.56037766801891,-0.103399979319996,2.633112523274e-10,108.982109767286,109.796365364548,45.1326012354152,0.2633112523274
"GTM","Guatemala",2004,41626689854.8393,10.8357,3.13791683609188,1.96098726863831,2.60306549422649e-10,112.401877738002,111.949458110775,58.591730594201,0.260306549422649
"GTM","Guatemala",2005,42990391422.8401,11.7657,3.27602692588891,8.58274038594646,2.73682085940466e-10,116.084193517904,121.557789463896,59.3071188967574,0.273682085940466
"GTM","Guatemala",2006,45290978278.1142,11.9282,5.35139778711535,1.38113329423664,2.63368124370235e-10,122.296320481012,123.23666456592,54.5858437423463,0.263368124370235
"GTM","Guatemala",2007,48161393073.4035,12.6993,6.33771869016211,6.46451266746029,2.63682156798181e-10,130.047117241517,131.20331435774,50.5149023638232,0.263682156798181
"GTM","Guatemala",2008,49747600113.1476,11.5613,3.29352400028491,-8.96112384147157,2.32399150385237e-10,134.330250259545,119.446022874028,54.6995870612526,0.232399150385237
"GTM","Guatemala",2009,49984845476.1643,12.1995,0.476898106596302,5.52014046863243,2.44063973466067e-10,134.970868679619,126.039611120869,45.1997347186913,0.244063973466067
"GTM","Guatemala",2010,51426496107.1135,11.7791,2.88417542800381,-3.44604287060946,2.2904729840948e-10,138.86366530904,121.696232087694,63.4947711683346,0.22904729840948
"GTM","Guatemala",2011,53567847518.1691,12.1427,4.16390688293344,3.08682327172705,2.26678885984385e-10,144.645819026737,125.452779700592,59.9114764808362,0.226678885984385
"GTM","Guatemala",2012,55161334868.2406,12.5792,2.97470856847668,3.59475240267815,2.28043792450761e-10,148.948610599268,129.962496513106,63.571780147662,0.228043792450761
"GTM","Guatemala",2013,57199418297.9914,13.5353,3.69476814623686,7.60064233019588,2.36633525353094e-10,154.451916417953,139.84048103646,64.9902708889737,0.236633525353094
"GTM","Guatemala",2014,59741348010.7131,14.5357,4.44397825774909,7.3910441586075,2.43310545945388e-10,161.315726002243,150.176152741474,65.2737837837838,0.243310545945388
"GTM","Guatemala",2015,62186066547.6566,16.9576,4.09217170075424,16.6617362768907,2.72691310793945e-10,167.917042490573,175.198107262039,60.3977933629832,0.272691310793945
"GTM","Guatemala",2016,63851287023.2843,18.0238,2.67780319302162,6.28744633674578,2.82277787030782e-10,172.413530416013,186.213594239134,60.4595570534425,0.282277787030782
"GTM","Guatemala",2017,65817811666.4384,17.0573,3.07985122122436,-5.36235422053063,2.59159330402013e-10,177.723610638087,176.22816170925,66.5006552069683,0.259159330402013
"GTM","Guatemala",2018,68060141106.7437,18.7397,3.40687328176348,9.86322571567597,2.7534030484317e-10,183.778428844301,193.60994307322,63.1750972762646,0.27534030484317
"GTM","Guatemala",2019,70794728365.1131,19.663,4.01789830861583,4.92697321728737,2.77746669195354e-10,191.162459228437,203.149053114442,62.8014615440272,0.277746669195354
"GTM","Guatemala",2020,69530652260.4529,17.6187,-1.78555117570467,-10.3966841275492,2.53394717685124e-10,187.749155690178,182.028287754027,68.1469099032018,0.253394717685124
"GTM","Guatemala",2021,75122101496.5524,20.2047,8.04170398855839,14.6775868821196,2.68958130796265e-10,202.8473870318,208.745647839159,60.6103116732271,0.268958130796265
"GTM","Guatemala",2022,78243366193.0214,18.9518,4.15492196609042,-6.20103243304776,2.42216061528426e-10,211.275537673224,195.801262514077,NA,0.242216061528426
"GTM","Guatemala",2023,81000900543.9077,20.1279,3.52430434049023,6.20574299011176,2.48489829925895e-10,218.721530617836,207.952185637094,NA,0.248489829925895
"GTM","Guatemala",2024,84010557479.994,20.3694,3.71558453779768,1.19982710565929,2.424623834314e-10,226.848313990306,210.447252327179,NA,0.2424623834314
