budget,government,poverty_rate,lifted,remaining_gap,spent
10000000,A,0.27684,2287,17350406.984606132,10000000.0
10000000,B,0.27348,2623,10416717.592996629,10000000.0
10000000,C,0.08357,21614,10233012.211166942,9999288.433852306
10000000,D,0.21859,8112,10232300.645019252,9999999.999999996
15000000,A,0.26503,3468,15994684.754076362,15000000.0
15000000,B,0.22348,7623,6673066.724409505,15000000.0
15000000,C,0.03722,26249,5233240.877847798,14999059.76717145
15000000,D,0.15682,14289,5232300.645019287,14999999.999999963
20000000,A,0.25309,4662,14700179.399919523,20000000.0
20000000,B,0.17348,12623,4030672.0006359555,20000000.0
20000000,C,0.00134,29837,233786.5246472225,19998514.120372027
20000000,D,0.03264,26707,232300.64501917365,20000000.000000075
25000000,A,0.24139,5832,13464024.75064368,25000000.0
25000000,B,0.12348,17623,2437605.0552666625,25000000.0
25000000,C,0.0,29971,0.0,20232300.645019248
25000000,D,0.0,29971,0.0,20232300.645019248
30000000,A,0.22937,7034,12287349.61498662,30000000.0
30000000,B,0.07377,22594,1903594.729080034,29971000.0
30000000,C,0.0,29971,0.0,20232300.645019248
30000000,D,0.0,29971,0.0,20232300.645019248
