tender_id,honest_winner,honest_public_value,corrupt_candidate,corrupt_firm_payoff,corruption_attempted,official_accepts,corruption_accepted,award_distorted,final_winner,final_public_value,corruption_loss
1,T001_F2,88.762916362191,T001_F1,146.43736291335782,True,True,True,True,T001_F1,57.88320116247661,30.879715199714397
2,T002_F3,81.73763561620208,T002_F2,146.70300982442572,True,True,True,True,T002_F2,53.5699655473872,28.167670068814886
3,T003_F1,89.49521633984497,T003_F2,149.93558808371208,True,True,True,True,T003_F2,59.577016216462695,29.918200123382277
4,T004_F3,75.5013017809813,T004_F4,151.20418439609,True,True,True,True,T004_F4,46.13256227714013,29.368739503841162
5,T005_F2,77.49109032857028,T005_F1,139.85881241964327,True,True,True,True,T005_F1,60.97032533232995,16.52076499624033
6,T006_F3,87.75677337729995,T006_F1,154.5148414424564,True,True,True,True,T006_F1,50.730245410272246,37.026527967027704
7,T007_F2,80.20158696273118,T007_F5,157.5135527944867,True,True,True,True,T007_F5,62.31373996351829,17.887846999212897
8,T008_F4,73.56125752579891,T008_F1,129.1994998502896,True,True,True,True,T008_F1,60.85417732093396,12.707080204864951
9,T009_F1,85.89408709107789,T009_F2,133.291148163489,True,True,True,True,T009_F2,55.54466862840837,30.349418462669526
10,T010_F4,82.3318083659791,T010_F1,153.44754945271154,True,True,True,True,T010_F1,62.65714258661835,19.67466577936075
11,T011_F4,79.79573871887048,T011_F1,146.64429029447066,True,True,True,True,T011_F1,64.93733416353963,14.85840455533085
12,T012_F2,78.80343447185965,T012_F4,157.9739147285909,True,True,True,True,T012_F4,60.501099297614985,18.30233517424466
13,T013_F3,78.22727162528366,T013_F1,149.76571689296418,True,True,True,True,T013_F1,55.195710729581506,23.031560895702157
14,T014_F4,84.92883148900094,T014_F2,155.25822834924705,True,True,True,True,T014_F2,49.524869914561734,35.40396157443921
15,T015_F1,73.27854860385611,T015_F5,158.77424083519557,True,True,True,True,T015_F5,62.58268510770946,10.69586349614665
16,T016_F4,77.38859938382026,T016_F2,151.45432864735346,True,True,True,True,T016_F2,51.60182675551116,25.7867726283091
17,T017_F5,73.6656141248192,T017_F1,154.98088117229068,True,True,True,True,T017_F1,51.855596180931485,21.810017943887715
18,T018_F1,90.6470102941818,T018_F2,146.95744627777282,True,True,True,True,T018_F2,68.09006169629275,22.556948597889047
19,T019_F3,91.74920088920142,T019_F5,156.16764780254465,True,True,True,True,T019_F5,50.480872230223426,41.26832865897799
20,T020_F3,90.33874002104896,T020_F5,149.52397067177927,True,True,True,True,T020_F5,51.77009359059646,38.5686464304525
21,T021_F3,88.3302144791238,T021_F2,159.8220794702544,True,True,True,True,T021_F2,54.75145429528926,33.57876018383454
22,T022_F3,88.7545220643743,T022_F4,141.88724703871824,True,True,True,True,T022_F4,55.5577158872843,33.19680617709
23,T023_F2,83.61779799974826,T023_F5,158.80163077325156,True,True,True,True,T023_F5,57.54835712513625,26.069440874612013
24,T024_F3,77.30017923080104,T024_F2,134.68103294845253,True,True,True,True,T024_F2,56.71038121995148,20.589798010849556
25,T025_F2,80.58324784307176,T025_F4,139.1459833912619,True,True,True,True,T025_F4,56.16154053835252,24.42170730471924
26,T026_F4,76.83716658799528,T026_F1,144.20234130893323,True,True,True,True,T026_F1,67.08283785881869,9.754328729176592
27,T027_F2,80.88651234901928,T027_F1,151.3928814144735,True,True,True,True,T027_F1,47.0813938202221,33.80511852879719
28,T028_F2,80.97188066727458,T028_F1,159.34798016101632,True,True,True,True,T028_F1,57.00301406904225,23.968866598232324
29,T029_F1,80.20812797844616,T029_F5,154.573134632281,True,True,True,True,T029_F5,62.836247225828345,17.371880752617813
30,T030_F3,79.69859522848402,T030_F2,155.04026035310056,True,True,True,True,T030_F2,53.41423725714881,26.28435797133521
31,T031_F1,88.2058389534741,T031_F4,158.1889070023342,True,True,True,True,T031_F4,57.22206692428962,30.98377202918448
32,T032_F3,74.54497069480155,T032_F2,158.67501874443042,True,True,True,True,T032_F2,61.40031811281584,13.14465258198571
33,T033_F2,77.82234670653645,T033_F5,151.20068026864357,True,True,True,True,T033_F5,54.16343798804815,23.6589087184883
34,T034_F1,84.43377593178431,T034_F4,159.85480223577505,True,True,True,True,T034_F4,60.3024550146361,24.13132091714821
35,T035_F4,77.14910653908271,T035_F3,145.11778729449495,True,True,True,True,T035_F3,49.204988290667686,27.944118248415023
