p,official_accept_payoff,official_prefers_accept,firms_willing_to_bribe,corruption_attempts,accepted_bribes,distorted_awards,honest_public_value,final_public_value,corruption_loss,loss_percentage
0.0,20.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
0.05,15.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
0.1,10.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
0.15,4.999999999999998,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
0.2,0.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.25,-5.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.3,-10.000000000000004,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.35,-15.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.4,-20.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.45,-25.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.5,-30.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.55,-35.00000000000001,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.6,-40.00000000000001,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.65,-45.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.7,-50.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.75,-55.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.8,-60.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.85,-65.00000000000001,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.9,-70.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
0.95,-75.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1.0,-80.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
