p,firm_penalty,official_penalty,firm_honest_payoff,firm_bribe_payoff,official_accept_payoff,official_reject_payoff,firm_prefers_bribe,official_prefers_accept,corruption_sustainable,firm_strategy,official_strategy,corruption
0.0,100,100,30.0,70.0,20.0,0,True,True,True,Sobornar,Aceptar,Sí
0.01,100,100,30.0,69.0,19.0,0,True,True,True,Sobornar,Aceptar,Sí
0.02,100,100,30.0,68.0,18.0,0,True,True,True,Sobornar,Aceptar,Sí
0.03,100,100,30.0,67.0,17.0,0,True,True,True,Sobornar,Aceptar,Sí
0.04,100,100,30.0,66.0,16.0,0,True,True,True,Sobornar,Aceptar,Sí
0.05,100,100,30.0,65.0,15.0,0,True,True,True,Sobornar,Aceptar,Sí
0.06,100,100,30.0,64.0,14.0,0,True,True,True,Sobornar,Aceptar,Sí
0.07,100,100,30.0,63.0,13.0,0,True,True,True,Sobornar,Aceptar,Sí
0.08,100,100,30.0,62.0,12.0,0,True,True,True,Sobornar,Aceptar,Sí
0.09,100,100,30.0,61.0,11.0,0,True,True,True,Sobornar,Aceptar,Sí
0.1,100,100,30.0,60.0,10.0,0,True,True,True,Sobornar,Aceptar,Sí
0.11,100,100,30.0,59.0,9.0,0,True,True,True,Sobornar,Aceptar,Sí
0.12,100,100,30.0,58.0,8.0,0,True,True,True,Sobornar,Aceptar,Sí
0.13,100,100,30.0,57.0,7.0,0,True,True,True,Sobornar,Aceptar,Sí
0.14,100,100,30.0,56.0,5.999999999999998,0,True,True,True,Sobornar,Aceptar,Sí
0.15,100,100,30.0,55.0,5.0,0,True,True,True,Sobornar,Aceptar,Sí
0.16,100,100,30.0,54.0,4.0,0,True,True,True,Sobornar,Aceptar,Sí
0.17,100,100,30.0,53.0,3.0,0,True,True,True,Sobornar,Aceptar,Sí
0.18,100,100,30.0,52.0,2.0,0,True,True,True,Sobornar,Aceptar,Sí
0.19,100,100,30.0,51.0,1.0,0,True,True,True,Sobornar,Aceptar,Sí
0.2,100,100,30.0,50.0,0.0,0,True,False,False,Sobornar,Rechazar,No
0.21,100,100,30.0,49.0,-1.0,0,True,False,False,Sobornar,Rechazar,No
0.22,100,100,30.0,48.0,-2.0,0,True,False,False,Sobornar,Rechazar,No
0.23,100,100,30.0,47.0,-3.0,0,True,False,False,Sobornar,Rechazar,No
0.24,100,100,30.0,46.0,-4.0,0,True,False,False,Sobornar,Rechazar,No
0.25,100,100,30.0,45.0,-5.0,0,True,False,False,Sobornar,Rechazar,No
0.26,100,100,30.0,44.0,-6.0,0,True,False,False,Sobornar,Rechazar,No
0.27,100,100,30.0,43.0,-7.0,0,True,False,False,Sobornar,Rechazar,No
0.28,100,100,30.0,42.0,-8.000000000000004,0,True,False,False,Sobornar,Rechazar,No
0.29,100,100,30.0,41.0,-8.999999999999996,0,True,False,False,Sobornar,Rechazar,No
0.3,100,100,30.0,40.0,-10.0,0,True,False,False,Sobornar,Rechazar,No
0.31,100,100,30.0,39.0,-11.0,0,True,False,False,Sobornar,Rechazar,No
0.32,100,100,30.0,38.0,-12.0,0,True,False,False,Sobornar,Rechazar,No
0.33,100,100,30.0,37.0,-13.0,0,True,False,False,Sobornar,Rechazar,No
0.34,100,100,30.0,36.0,-14.0,0,True,False,False,Sobornar,Rechazar,No
0.35,100,100,30.0,35.0,-15.0,0,True,False,False,Sobornar,Rechazar,No
0.36,100,100,30.0,34.0,-16.0,0,True,False,False,Sobornar,Rechazar,No
0.37,100,100,30.0,33.0,-17.0,0,True,False,False,Sobornar,Rechazar,No
0.38,100,100,30.0,32.0,-18.0,0,True,False,False,Sobornar,Rechazar,No
0.39,100,100,30.0,31.0,-19.0,0,True,False,False,Sobornar,Rechazar,No
0.4,100,100,30.0,30.0,-20.0,0,False,False,False,Honesto,Rechazar,No
0.41,100,100,30.0,29.0,-21.0,0,False,False,False,Honesto,Rechazar,No
0.42,100,100,30.0,28.0,-22.0,0,False,False,False,Honesto,Rechazar,No
0.43,100,100,30.0,27.0,-23.0,0,False,False,False,Honesto,Rechazar,No
0.44,100,100,30.0,26.0,-24.0,0,False,False,False,Honesto,Rechazar,No
0.45,100,100,30.0,25.0,-25.0,0,False,False,False,Honesto,Rechazar,No
0.46,100,100,30.0,24.0,-26.0,0,False,False,False,Honesto,Rechazar,No
0.47,100,100,30.0,23.0,-27.0,0,False,False,False,Honesto,Rechazar,No
0.48,100,100,30.0,22.0,-28.0,0,False,False,False,Honesto,Rechazar,No
0.49,100,100,30.0,21.0,-29.0,0,False,False,False,Honesto,Rechazar,No
0.5,100,100,30.0,20.0,-30.0,0,False,False,False,Honesto,Rechazar,No
0.51,100,100,30.0,19.0,-31.0,0,False,False,False,Honesto,Rechazar,No
0.52,100,100,30.0,18.0,-32.0,0,False,False,False,Honesto,Rechazar,No
0.53,100,100,30.0,17.0,-33.0,0,False,False,False,Honesto,Rechazar,No
0.54,100,100,30.0,16.0,-34.0,0,False,False,False,Honesto,Rechazar,No
0.55,100,100,30.0,14.999999999999993,-35.00000000000001,0,False,False,False,Honesto,Rechazar,No
0.56,100,100,30.0,13.999999999999993,-36.00000000000001,0,False,False,False,Honesto,Rechazar,No
0.57,100,100,30.0,13.000000000000007,-36.99999999999999,0,False,False,False,Honesto,Rechazar,No
0.58,100,100,30.0,12.000000000000007,-37.99999999999999,0,False,False,False,Honesto,Rechazar,No
0.59,100,100,30.0,11.0,-39.0,0,False,False,False,Honesto,Rechazar,No
0.6,100,100,30.0,10.0,-40.0,0,False,False,False,Honesto,Rechazar,No
0.61,100,100,30.0,9.0,-41.0,0,False,False,False,Honesto,Rechazar,No
0.62,100,100,30.0,8.0,-42.0,0,False,False,False,Honesto,Rechazar,No
0.63,100,100,30.0,7.0,-43.0,0,False,False,False,Honesto,Rechazar,No
0.64,100,100,30.0,6.0,-44.0,0,False,False,False,Honesto,Rechazar,No
0.65,100,100,30.0,5.0,-45.0,0,False,False,False,Honesto,Rechazar,No
0.66,100,100,30.0,4.0,-46.0,0,False,False,False,Honesto,Rechazar,No
0.67,100,100,30.0,3.0,-47.0,0,False,False,False,Honesto,Rechazar,No
0.68,100,100,30.0,2.0,-48.0,0,False,False,False,Honesto,Rechazar,No
0.69,100,100,30.0,1.0,-49.0,0,False,False,False,Honesto,Rechazar,No
0.7,100,100,30.0,0.0,-50.0,0,False,False,False,Honesto,Rechazar,No
0.71,100,100,30.0,-1.0,-51.0,0,False,False,False,Honesto,Rechazar,No
0.72,100,100,30.0,-2.0,-52.0,0,False,False,False,Honesto,Rechazar,No
0.73,100,100,30.0,-3.0,-53.0,0,False,False,False,Honesto,Rechazar,No
0.74,100,100,30.0,-4.0,-54.0,0,False,False,False,Honesto,Rechazar,No
0.75,100,100,30.0,-5.0,-55.0,0,False,False,False,Honesto,Rechazar,No
0.76,100,100,30.0,-6.0,-56.0,0,False,False,False,Honesto,Rechazar,No
0.77,100,100,30.0,-7.0,-57.0,0,False,False,False,Honesto,Rechazar,No
0.78,100,100,30.0,-8.0,-58.0,0,False,False,False,Honesto,Rechazar,No
0.79,100,100,30.0,-9.0,-59.0,0,False,False,False,Honesto,Rechazar,No
0.8,100,100,30.0,-10.0,-60.0,0,False,False,False,Honesto,Rechazar,No
0.81,100,100,30.0,-11.0,-61.0,0,False,False,False,Honesto,Rechazar,No
0.82,100,100,30.0,-12.0,-62.0,0,False,False,False,Honesto,Rechazar,No
0.83,100,100,30.0,-13.0,-63.0,0,False,False,False,Honesto,Rechazar,No
0.84,100,100,30.0,-14.0,-64.0,0,False,False,False,Honesto,Rechazar,No
0.85,100,100,30.0,-15.0,-65.0,0,False,False,False,Honesto,Rechazar,No
0.86,100,100,30.0,-16.0,-66.0,0,False,False,False,Honesto,Rechazar,No
0.87,100,100,30.0,-17.0,-67.0,0,False,False,False,Honesto,Rechazar,No
0.88,100,100,30.0,-18.0,-68.0,0,False,False,False,Honesto,Rechazar,No
0.89,100,100,30.0,-19.0,-69.0,0,False,False,False,Honesto,Rechazar,No
0.9,100,100,30.0,-20.0,-70.0,0,False,False,False,Honesto,Rechazar,No
0.91,100,100,30.0,-21.0,-71.0,0,False,False,False,Honesto,Rechazar,No
0.92,100,100,30.0,-22.0,-72.0,0,False,False,False,Honesto,Rechazar,No
0.93,100,100,30.0,-23.0,-73.0,0,False,False,False,Honesto,Rechazar,No
0.94,100,100,30.0,-24.0,-74.0,0,False,False,False,Honesto,Rechazar,No
0.95,100,100,30.0,-25.0,-75.0,0,False,False,False,Honesto,Rechazar,No
0.96,100,100,30.0,-26.0,-76.0,0,False,False,False,Honesto,Rechazar,No
0.97,100,100,30.0,-27.0,-77.0,0,False,False,False,Honesto,Rechazar,No
0.98,100,100,30.0,-28.0,-78.0,0,False,False,False,Honesto,Rechazar,No
0.99,100,100,30.0,-29.0,-79.0,0,False,False,False,Honesto,Rechazar,No
1.0,100,100,30.0,-30.0,-80.0,0,False,False,False,Honesto,Rechazar,No
