round,regime,p,sanction,expected_penalty,official_accept_payoff,corruption_attempts,accepted_bribes,distorted_awards,honest_public_value,final_public_value,corruption_loss,all_average_propensity,eligible_average_propensity,eligible_median_propensity,all_firms_above_threshold,eligible_losing_firms_above_threshold
1,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.525,0.53125,0.5,500,400
2,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.54375,0.5546875,0.5,500,400
3,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5578125,0.572265625,0.5,500,400
4,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.568359375,0.58544921875,0.5,500,400
5,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.57626953125,0.5953369140625,0.5,500,400
6,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5822021484375,0.602752685546875,0.5,500,400
7,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.586651611328125,0.6083145141601562,0.5,500,400
8,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5899887084960938,0.6124858856201172,0.5,500,400
9,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5924915313720703,0.6156144142150879,0.5,500,400
10,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5943686485290527,0.6179608106613159,0.5,500,400
11,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5957764863967896,0.6197206079959869,0.5,500,400
12,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5968323647975922,0.6210404559969902,0.5,500,400
13,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5976242735981941,0.6220303419977427,0.5,500,400
14,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5982182051986455,0.622772756498307,0.5,500,400
15,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5986636538989842,0.6233295673737302,0.5,500,400
16,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5989977404242381,0.6237471755302977,0.5,500,400
17,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5992483053181786,0.6240603816477233,0.5,500,400
18,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5994362289886339,0.6242952862357924,0.5,500,400
19,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5995771717414755,0.6244714646768443,0.5,500,400
20,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5996828788061066,0.6246035985076333,0.5,500,400
21,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.59976215910458,0.6247026988807249,0.5,500,400
22,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5998216193284349,0.6247770241605437,0.5,500,400
23,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5998662144963262,0.6248327681204078,0.5,500,400
24,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5998996608722446,0.6248745760903058,0.5,500,400
25,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999247456541834,0.6249059320677294,0.5,500,400
26,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999435592406376,0.6249294490507971,0.5,500,400
27,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999576694304782,0.6249470867880977,0.5,500,400
28,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999682520728586,0.6249603150910734,0.5,500,400
29,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.599976189054644,0.6249702363183051,0.5,500,400
30,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999821417909831,0.6249776772387289,0.5,500,400
31,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999866063432373,0.6249832579290466,0.5,500,400
32,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.599989954757428,0.6249874434467849,0.5,500,400
33,Pre-reform,0.1,100,10.0,10.0,100,100,100,8197.046436923185,5653.8787258911125,2543.1677110320725,0.5999924660680709,0.6249905825850887,0.5,500,400
