p,firm_penalty,firm_honest_payoff,firm_bribe_payoff,firm_prefers_bribe
0.0,0,30.0,70.0,True
0.0,5,30.0,70.0,True
0.0,10,30.0,70.0,True
0.0,15,30.0,70.0,True
0.0,20,30.0,70.0,True
0.0,25,30.0,70.0,True
0.0,30,30.0,70.0,True
0.0,35,30.0,70.0,True
0.0,40,30.0,70.0,True
0.0,45,30.0,70.0,True
0.0,50,30.0,70.0,True
0.0,55,30.0,70.0,True
0.0,60,30.0,70.0,True
0.0,65,30.0,70.0,True
0.0,70,30.0,70.0,True
0.0,75,30.0,70.0,True
0.0,80,30.0,70.0,True
0.0,85,30.0,70.0,True
0.0,90,30.0,70.0,True
0.0,95,30.0,70.0,True
0.0,100,30.0,70.0,True
0.0,105,30.0,70.0,True
0.0,110,30.0,70.0,True
0.0,115,30.0,70.0,True
0.0,120,30.0,70.0,True
0.0,125,30.0,70.0,True
0.0,130,30.0,70.0,True
0.0,135,30.0,70.0,True
0.0,140,30.0,70.0,True
0.0,145,30.0,70.0,True
0.0,150,30.0,70.0,True
0.0,155,30.0,70.0,True
0.0,160,30.0,70.0,True
0.0,165,30.0,70.0,True
0.0,170,30.0,70.0,True
0.0,175,30.0,70.0,True
0.0,180,30.0,70.0,True
0.0,185,30.0,70.0,True
0.0,190,30.0,70.0,True
0.0,195,30.0,70.0,True
0.0,200,30.0,70.0,True
0.0,205,30.0,70.0,True
0.0,210,30.0,70.0,True
0.0,215,30.0,70.0,True
0.0,220,30.0,70.0,True
0.0,225,30.0,70.0,True
0.0,230,30.0,70.0,True
0.0,235,30.0,70.0,True
0.0,240,30.0,70.0,True
0.0,245,30.0,70.0,True
0.0,250,30.0,70.0,True
0.0,255,30.0,70.0,True
0.0,260,30.0,70.0,True
0.0,265,30.0,70.0,True
0.0,270,30.0,70.0,True
0.0,275,30.0,70.0,True
0.0,280,30.0,70.0,True
0.0,285,30.0,70.0,True
0.0,290,30.0,70.0,True
0.0,295,30.0,70.0,True
0.0,300,30.0,70.0,True
0.0,305,30.0,70.0,True
0.0,310,30.0,70.0,True
0.0,315,30.0,70.0,True
0.0,320,30.0,70.0,True
0.0,325,30.0,70.0,True
0.0,330,30.0,70.0,True
