p,official_penalty,official_accept_payoff,official_prefers_accept
0.0,0,20.0,True
0.0,5,20.0,True
0.0,10,20.0,True
0.0,15,20.0,True
0.0,20,20.0,True
0.0,25,20.0,True
0.0,30,20.0,True
0.0,35,20.0,True
0.0,40,20.0,True
0.0,45,20.0,True
0.0,50,20.0,True
0.0,55,20.0,True
0.0,60,20.0,True
0.0,65,20.0,True
0.0,70,20.0,True
0.0,75,20.0,True
0.0,80,20.0,True
0.0,85,20.0,True
0.0,90,20.0,True
0.0,95,20.0,True
0.0,100,20.0,True
0.0,105,20.0,True
0.0,110,20.0,True
0.0,115,20.0,True
0.0,120,20.0,True
0.0,125,20.0,True
0.0,130,20.0,True
0.0,135,20.0,True
0.0,140,20.0,True
0.0,145,20.0,True
0.0,150,20.0,True
0.0,155,20.0,True
0.0,160,20.0,True
0.0,165,20.0,True
0.0,170,20.0,True
0.0,175,20.0,True
0.0,180,20.0,True
0.0,185,20.0,True
0.0,190,20.0,True
0.0,195,20.0,True
0.0,200,20.0,True
0.0,205,20.0,True
0.0,210,20.0,True
0.0,215,20.0,True
0.0,220,20.0,True
0.0,225,20.0,True
0.0,230,20.0,True
0.0,235,20.0,True
0.0,240,20.0,True
0.0,245,20.0,True
0.0,250,20.0,True
0.0,255,20.0,True
0.0,260,20.0,True
0.0,265,20.0,True
0.0,270,20.0,True
0.0,275,20.0,True
0.0,280,20.0,True
0.0,285,20.0,True
0.0,290,20.0,True
0.0,295,20.0,True
0.0,300,20.0,True
0.0,305,20.0,True
0.0,310,20.0,True
0.0,315,20.0,True
0.0,320,20.0,True
0.0,325,20.0,True
0.0,330,20.0,True
0.0,335,20.0,True
0.0,340,20.0,True
0.0,345,20.0,True
0.0,350,20.0,True
0.0,355,20.0,True
0.0,360,20.0,True
0.0,365,20.0,True
0.0,370,20.0,True
0.0,375,20.0,True
0.0,380,20.0,True
0.0,385,20.0,True
0.0,390,20.0,True
0.0,395,20.0,True
0.0,400,20.0,True
0.0,405,20.0,True
0.0,410,20.0,True
0.0,415,20.0,True
0.0,420,20.0,True
0.0,425,20.0,True
0.0,430,20.0,True
0.0,435,20.0,True
0.0,440,20.0,True
0.0,445,20.0,True
0.0,450,20.0,True
0.0,455,20.0,True
0.0,460,20.0,True
0.0,465,20.0,True
0.0,470,20.0,True
0.0,475,20.0,True
0.0,480,20.0,True
0.0,485,20.0,True
0.0,490,20.0,True
0.0,495,20.0,True
0.0,500,20.0,True
0.01,0,20.0,True
0.01,5,19.95,True
0.01,10,19.9,True
0.01,15,19.85,True
0.01,20,19.8,True
0.01,25,19.75,True
0.01,30,19.7,True
0.01,35,19.65,True
0.01,40,19.6,True
0.01,45,19.55,True
0.01,50,19.5,True
0.01,55,19.45,True
0.01,60,19.4,True
0.01,65,19.35,True
0.01,70,19.3,True
0.01,75,19.25,True
0.01,80,19.2,True
0.01,85,19.15,True
0.01,90,19.1,True
0.01,95,19.05,True
0.01,100,19.0,True
0.01,105,18.95,True
0.01,110,18.9,True
0.01,115,18.85,True
0.01,120,18.8,True
0.01,125,18.75,True
0.01,130,18.7,True
0.01,135,18.65,True
0.01,140,18.6,True
0.01,145,18.55,True
0.01,150,18.5,True
0.01,155,18.45,True
0.01,160,18.4,True
0.01,165,18.35,True
0.01,170,18.3,True
0.01,175,18.25,True
0.01,180,18.2,True
0.01,185,18.15,True
0.01,190,18.1,True
0.01,195,18.05,True
0.01,200,18.0,True
0.01,205,17.95,True
0.01,210,17.9,True
0.01,215,17.85,True
0.01,220,17.8,True
0.01,225,17.75,True
0.01,230,17.7,True
0.01,235,17.65,True
0.01,240,17.6,True
0.01,245,17.55,True
0.01,250,17.5,True
0.01,255,17.45,True
0.01,260,17.4,True
0.01,265,17.35,True
0.01,270,17.3,True
0.01,275,17.25,True
0.01,280,17.2,True
0.01,285,17.15,True
0.01,290,17.1,True
0.01,295,17.05,True
0.01,300,17.0,True
0.01,305,16.95,True
0.01,310,16.9,True
0.01,315,16.85,True
0.01,320,16.8,True
0.01,325,16.75,True
0.01,330,16.7,True
0.01,335,16.65,True
0.01,340,16.6,True
0.01,345,16.55,True
0.01,350,16.5,True
0.01,355,16.45,True
0.01,360,16.4,True
0.01,365,16.35,True
0.01,370,16.3,True
0.01,375,16.25,True
0.01,380,16.2,True
0.01,385,16.15,True
0.01,390,16.1,True
0.01,395,16.05,True
0.01,400,16.0,True
0.01,405,15.95,True
0.01,410,15.9,True
0.01,415,15.85,True
0.01,420,15.8,True
0.01,425,15.75,True
0.01,430,15.7,True
0.01,435,15.649999999999999,True
0.01,440,15.6,True
0.01,445,15.55,True
0.01,450,15.5,True
0.01,455,15.45,True
0.01,460,15.399999999999999,True
0.01,465,15.35,True
0.01,470,15.3,True
0.01,475,15.25,True
0.01,480,15.2,True
0.01,485,15.149999999999999,True
0.01,490,15.1,True
0.01,495,15.05,True
0.01,500,15.0,True
0.02,0,20.0,True
0.02,5,19.9,True
0.02,10,19.8,True
0.02,15,19.7,True
0.02,20,19.6,True
0.02,25,19.5,True
0.02,30,19.4,True
0.02,35,19.3,True
0.02,40,19.2,True
0.02,45,19.1,True
0.02,50,19.0,True
0.02,55,18.9,True
0.02,60,18.8,True
0.02,65,18.7,True
0.02,70,18.6,True
0.02,75,18.5,True
0.02,80,18.4,True
0.02,85,18.3,True
0.02,90,18.2,True
0.02,95,18.1,True
0.02,100,18.0,True
0.02,105,17.9,True
0.02,110,17.8,True
0.02,115,17.7,True
0.02,120,17.6,True
0.02,125,17.5,True
0.02,130,17.4,True
0.02,135,17.3,True
0.02,140,17.2,True
0.02,145,17.1,True
0.02,150,17.0,True
0.02,155,16.9,True
0.02,160,16.8,True
0.02,165,16.7,True
0.02,170,16.6,True
0.02,175,16.5,True
0.02,180,16.4,True
0.02,185,16.3,True
0.02,190,16.2,True
0.02,195,16.1,True
0.02,200,16.0,True
0.02,205,15.9,True
0.02,210,15.8,True
0.02,215,15.7,True
0.02,220,15.6,True
0.02,225,15.5,True
0.02,230,15.399999999999999,True
0.02,235,15.3,True
0.02,240,15.2,True
0.02,245,15.1,True
0.02,250,15.0,True
0.02,255,14.899999999999999,True
0.02,260,14.8,True
0.02,265,14.7,True
0.02,270,14.6,True
0.02,275,14.5,True
0.02,280,14.399999999999999,True
0.02,285,14.3,True
0.02,290,14.2,True
0.02,295,14.1,True
0.02,300,14.0,True
0.02,305,13.899999999999999,True
0.02,310,13.8,True
0.02,315,13.7,True
0.02,320,13.6,True
0.02,325,13.5,True
0.02,330,13.399999999999999,True
0.02,335,13.3,True
0.02,340,13.2,True
0.02,345,13.1,True
0.02,350,13.0,True
0.02,355,12.899999999999999,True
0.02,360,12.8,True
0.02,365,12.7,True
0.02,370,12.6,True
0.02,375,12.5,True
0.02,380,12.399999999999999,True
0.02,385,12.3,True
0.02,390,12.2,True
0.02,395,12.1,True
0.02,400,12.0,True
0.02,405,11.9,True
0.02,410,11.8,True
0.02,415,11.7,True
0.02,420,11.6,True
0.02,425,11.5,True
0.02,430,11.4,True
0.02,435,11.299999999999999,True
0.02,440,11.2,True
0.02,445,11.1,True
0.02,450,11.0,True
0.02,455,10.9,True
0.02,460,10.799999999999999,True
0.02,465,10.7,True
0.02,470,10.6,True
0.02,475,10.5,True
0.02,480,10.4,True
0.02,485,10.299999999999999,True
0.02,490,10.2,True
0.02,495,10.1,True
0.02,500,10.0,True
0.03,0,20.0,True
0.03,5,19.85,True
0.03,10,19.7,True
0.03,15,19.55,True
0.03,20,19.4,True
0.03,25,19.25,True
0.03,30,19.1,True
0.03,35,18.95,True
0.03,40,18.8,True
0.03,45,18.65,True
0.03,50,18.5,True
0.03,55,18.35,True
0.03,60,18.2,True
0.03,65,18.05,True
0.03,70,17.9,True
0.03,75,17.75,True
0.03,80,17.6,True
0.03,85,17.45,True
0.03,90,17.3,True
0.03,95,17.15,True
0.03,100,17.0,True
0.03,105,16.85,True
0.03,110,16.7,True
0.03,115,16.55,True
0.03,120,16.4,True
0.03,125,16.25,True
0.03,130,16.1,True
0.03,135,15.95,True
0.03,140,15.8,True
0.03,145,15.65,True
0.03,150,15.5,True
0.03,155,15.350000000000001,True
0.03,160,15.2,True
0.03,165,15.05,True
0.03,170,14.9,True
0.03,175,14.75,True
0.03,180,14.600000000000001,True
0.03,185,14.45,True
0.03,190,14.3,True
0.03,195,14.15,True
0.03,200,14.0,True
0.03,205,13.850000000000001,True
0.03,210,13.7,True
0.03,215,13.55,True
0.03,220,13.4,True
0.03,225,13.25,True
0.03,230,13.100000000000001,True
0.03,235,12.95,True
0.03,240,12.8,True
0.03,245,12.65,True
0.03,250,12.5,True
0.03,255,12.350000000000001,True
0.03,260,12.2,True
0.03,265,12.05,True
0.03,270,11.9,True
0.03,275,11.75,True
0.03,280,11.6,True
0.03,285,11.450000000000001,True
0.03,290,11.3,True
0.03,295,11.15,True
0.03,300,11.0,True
0.03,305,10.85,True
0.03,310,10.700000000000001,True
0.03,315,10.55,True
0.03,320,10.4,True
0.03,325,10.25,True
0.03,330,10.1,True
0.03,335,9.950000000000001,True
0.03,340,9.8,True
0.03,345,9.65,True
0.03,350,9.5,True
0.03,355,9.35,True
0.03,360,9.200000000000001,True
0.03,365,9.05,True
0.03,370,8.9,True
0.03,375,8.75,True
0.03,380,8.6,True
0.03,385,8.450000000000001,True
0.03,390,8.3,True
0.03,395,8.15,True
0.03,400,8.0,True
0.03,405,7.85,True
0.03,410,7.700000000000001,True
0.03,415,7.550000000000001,True
0.03,420,7.4,True
0.03,425,7.25,True
0.03,430,7.1,True
0.03,435,6.950000000000001,True
0.03,440,6.800000000000001,True
0.03,445,6.65,True
0.03,450,6.5,True
0.03,455,6.35,True
0.03,460,6.200000000000001,True
0.03,465,6.050000000000001,True
0.03,470,5.9,True
0.03,475,5.75,True
0.03,480,5.600000000000001,True
0.03,485,5.450000000000001,True
0.03,490,5.300000000000001,True
0.03,495,5.15,True
0.03,500,5.0,True
0.04,0,20.0,True
0.04,5,19.8,True
0.04,10,19.6,True
0.04,15,19.4,True
0.04,20,19.2,True
0.04,25,19.0,True
0.04,30,18.8,True
0.04,35,18.6,True
0.04,40,18.4,True
0.04,45,18.2,True
0.04,50,18.0,True
0.04,55,17.8,True
0.04,60,17.6,True
0.04,65,17.4,True
0.04,70,17.2,True
0.04,75,17.0,True
0.04,80,16.8,True
0.04,85,16.6,True
0.04,90,16.4,True
0.04,95,16.2,True
0.04,100,16.0,True
0.04,105,15.8,True
0.04,110,15.6,True
0.04,115,15.399999999999999,True
0.04,120,15.2,True
0.04,125,15.0,True
0.04,130,14.8,True
0.04,135,14.6,True
0.04,140,14.399999999999999,True
0.04,145,14.2,True
0.04,150,14.0,True
0.04,155,13.8,True
0.04,160,13.6,True
0.04,165,13.399999999999999,True
0.04,170,13.2,True
0.04,175,13.0,True
0.04,180,12.8,True
0.04,185,12.6,True
0.04,190,12.399999999999999,True
0.04,195,12.2,True
0.04,200,12.0,True
0.04,205,11.8,True
0.04,210,11.6,True
0.04,215,11.4,True
0.04,220,11.2,True
0.04,225,11.0,True
0.04,230,10.799999999999999,True
0.04,235,10.6,True
0.04,240,10.4,True
0.04,245,10.2,True
0.04,250,10.0,True
0.04,255,9.799999999999999,True
0.04,260,9.6,True
0.04,265,9.4,True
0.04,270,9.2,True
0.04,275,9.0,True
0.04,280,8.799999999999999,True
0.04,285,8.6,True
0.04,290,8.4,True
0.04,295,8.2,True
0.04,300,8.0,True
0.04,305,7.799999999999999,True
0.04,310,7.6,True
0.04,315,7.4,True
0.04,320,7.199999999999999,True
0.04,325,7.0,True
0.04,330,6.799999999999999,True
0.04,335,6.6,True
0.04,340,6.4,True
0.04,345,6.199999999999999,True
0.04,350,6.0,True
0.04,355,5.799999999999999,True
0.04,360,5.6,True
0.04,365,5.4,True
0.04,370,5.199999999999999,True
0.04,375,5.0,True
0.04,380,4.799999999999999,True
0.04,385,4.6,True
0.04,390,4.4,True
0.04,395,4.199999999999999,True
0.04,400,4.0,True
0.04,405,3.8000000000000007,True
0.04,410,3.6000000000000014,True
0.04,415,3.3999999999999986,True
0.04,420,3.1999999999999993,True
0.04,425,3.0,True
0.04,430,2.8000000000000007,True
0.04,435,2.599999999999998,True
0.04,440,2.3999999999999986,True
0.04,445,2.1999999999999993,True
0.04,450,2.0,True
0.04,455,1.8000000000000007,True
0.04,460,1.5999999999999979,True
0.04,465,1.3999999999999986,True
0.04,470,1.1999999999999993,True
0.04,475,1.0,True
0.04,480,0.8000000000000007,True
0.04,485,0.5999999999999979,True
0.04,490,0.3999999999999986,True
0.04,495,0.1999999999999993,True
0.04,500,0.0,False
0.05,0,20.0,True
0.05,5,19.75,True
0.05,10,19.5,True
0.05,15,19.25,True
0.05,20,19.0,True
0.05,25,18.75,True
0.05,30,18.5,True
0.05,35,18.25,True
0.05,40,18.0,True
0.05,45,17.75,True
0.05,50,17.5,True
0.05,55,17.25,True
0.05,60,17.0,True
0.05,65,16.75,True
0.05,70,16.5,True
0.05,75,16.25,True
0.05,80,16.0,True
0.05,85,15.75,True
0.05,90,15.5,True
0.05,95,15.25,True
0.05,100,15.0,True
0.05,105,14.75,True
0.05,110,14.5,True
0.05,115,14.25,True
0.05,120,14.0,True
0.05,125,13.75,True
0.05,130,13.5,True
0.05,135,13.25,True
0.05,140,13.0,True
0.05,145,12.75,True
0.05,150,12.5,True
0.05,155,12.25,True
0.05,160,12.0,True
0.05,165,11.75,True
0.05,170,11.5,True
0.05,175,11.25,True
0.05,180,11.0,True
0.05,185,10.75,True
0.05,190,10.5,True
0.05,195,10.25,True
0.05,200,10.0,True
0.05,205,9.75,True
0.05,210,9.5,True
0.05,215,9.25,True
0.05,220,9.0,True
0.05,225,8.75,True
0.05,230,8.5,True
0.05,235,8.25,True
0.05,240,8.0,True
0.05,245,7.75,True
0.05,250,7.5,True
