sanction,official_accept_payoff,official_prefers_accept,firms_willing_to_bribe,corruption_attempts,accepted_bribes,distorted_awards,honest_public_value,final_public_value,corruption_loss,loss_percentage
0,20.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
25,17.5,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
50,15.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
75,12.5,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
100,10.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
125,7.5,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
150,5.0,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
175,2.5,True,500,100,100,100,8197.046436923185,5653.878725891113,2543.1677110320725,31.025415442036547
200,0.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
225,-2.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
250,-5.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
275,-7.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
300,-10.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
325,-12.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
350,-15.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
375,-17.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
400,-20.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
425,-22.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
450,-25.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
475,-27.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
500,-30.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
525,-32.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
550,-35.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
575,-37.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
600,-40.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
625,-42.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
650,-45.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
675,-47.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
700,-50.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
725,-52.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
750,-55.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
775,-57.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
800,-60.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
825,-62.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
850,-65.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
875,-67.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
900,-70.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
925,-72.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
950,-75.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
975,-77.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1000,-80.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1025,-82.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1050,-85.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1075,-87.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1100,-90.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1125,-92.5,False,477,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1150,-95.0,False,464,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1175,-97.5,False,430,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1200,-100.0,False,406,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1225,-102.5,False,385,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1250,-105.0,False,362,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1275,-107.5,False,341,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1300,-110.0,False,321,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1325,-112.5,False,306,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1350,-115.0,False,291,99,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1375,-117.5,False,271,99,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1400,-120.0,False,244,97,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1425,-122.5,False,230,94,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1450,-125.0,False,202,90,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1475,-127.5,False,186,90,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1500,-130.0,False,160,86,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1525,-132.5,False,146,84,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1550,-135.0,False,123,79,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1575,-137.5,False,93,68,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1600,-140.0,False,79,60,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1625,-142.5,False,60,49,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1650,-145.0,False,40,35,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1675,-147.5,False,23,22,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1700,-150.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1725,-152.5,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1750,-155.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1775,-157.5,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1800,-160.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1825,-162.5,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1850,-165.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1875,-167.5,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1900,-170.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1925,-172.5,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1950,-175.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
1975,-177.5,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
2000,-180.0,False,0,0,0,0,8197.046436923185,8197.046436923185,0.0,0.0
