p,penalty,regime,regime_name
0.0,0,0,Corrupción sostenible
0.0,5,0,Corrupción sostenible
0.0,10,0,Corrupción sostenible
0.0,15,0,Corrupción sostenible
0.0,20,0,Corrupción sostenible
0.0,25,0,Corrupción sostenible
0.0,30,0,Corrupción sostenible
0.0,35,0,Corrupción sostenible
0.0,40,0,Corrupción sostenible
0.0,45,0,Corrupción sostenible
0.0,50,0,Corrupción sostenible
0.0,55,0,Corrupción sostenible
0.0,60,0,Corrupción sostenible
0.0,65,0,Corrupción sostenible
0.0,70,0,Corrupción sostenible
0.0,75,0,Corrupción sostenible
0.0,80,0,Corrupción sostenible
0.0,85,0,Corrupción sostenible
0.0,90,0,Corrupción sostenible
0.0,95,0,Corrupción sostenible
0.0,100,0,Corrupción sostenible
0.0,105,0,Corrupción sostenible
0.0,110,0,Corrupción sostenible
0.0,115,0,Corrupción sostenible
0.0,120,0,Corrupción sostenible
0.0,125,0,Corrupción sostenible
0.0,130,0,Corrupción sostenible
0.0,135,0,Corrupción sostenible
0.0,140,0,Corrupción sostenible
0.0,145,0,Corrupción sostenible
0.0,150,0,Corrupción sostenible
0.0,155,0,Corrupción sostenible
0.0,160,0,Corrupción sostenible
0.0,165,0,Corrupción sostenible
0.0,170,0,Corrupción sostenible
0.0,175,0,Corrupción sostenible
0.0,180,0,Corrupción sostenible
0.0,185,0,Corrupción sostenible
0.0,190,0,Corrupción sostenible
0.0,195,0,Corrupción sostenible
0.0,200,0,Corrupción sostenible
0.0,205,0,Corrupción sostenible
0.0,210,0,Corrupción sostenible
0.0,215,0,Corrupción sostenible
0.0,220,0,Corrupción sostenible
0.0,225,0,Corrupción sostenible
0.0,230,0,Corrupción sostenible
0.0,235,0,Corrupción sostenible
0.0,240,0,Corrupción sostenible
0.0,245,0,Corrupción sostenible
0.0,250,0,Corrupción sostenible
0.0,255,0,Corrupción sostenible
0.0,260,0,Corrupción sostenible
0.0,265,0,Corrupción sostenible
0.0,270,0,Corrupción sostenible
0.0,275,0,Corrupción sostenible
0.0,280,0,Corrupción sostenible
0.0,285,0,Corrupción sostenible
0.0,290,0,Corrupción sostenible
0.0,295,0,Corrupción sostenible
0.0,300,0,Corrupción sostenible
0.0,305,0,Corrupción sostenible
0.0,310,0,Corrupción sostenible
0.0,315,0,Corrupción sostenible
0.0,320,0,Corrupción sostenible
0.0,325,0,Corrupción sostenible
0.0,330,0,Corrupción sostenible
0.0,335,0,Corrupción sostenible
0.0,340,0,Corrupción sostenible
0.0,345,0,Corrupción sostenible
0.0,350,0,Corrupción sostenible
0.0,355,0,Corrupción sostenible
0.0,360,0,Corrupción sostenible
0.0,365,0,Corrupción sostenible
0.0,370,0,Corrupción sostenible
0.0,375,0,Corrupción sostenible
0.0,380,0,Corrupción sostenible
0.0,385,0,Corrupción sostenible
0.0,390,0,Corrupción sostenible
0.0,395,0,Corrupción sostenible
0.0,400,0,Corrupción sostenible
0.0,405,0,Corrupción sostenible
0.0,410,0,Corrupción sostenible
0.0,415,0,Corrupción sostenible
0.0,420,0,Corrupción sostenible
0.0,425,0,Corrupción sostenible
0.0,430,0,Corrupción sostenible
0.0,435,0,Corrupción sostenible
0.0,440,0,Corrupción sostenible
0.0,445,0,Corrupción sostenible
0.0,450,0,Corrupción sostenible
0.0,455,0,Corrupción sostenible
0.0,460,0,Corrupción sostenible
0.0,465,0,Corrupción sostenible
0.0,470,0,Corrupción sostenible
0.0,475,0,Corrupción sostenible
0.0,480,0,Corrupción sostenible
0.0,485,0,Corrupción sostenible
0.0,490,0,Corrupción sostenible
0.0,495,0,Corrupción sostenible
0.0,500,0,Corrupción sostenible
0.01,0,0,Corrupción sostenible
0.01,5,0,Corrupción sostenible
0.01,10,0,Corrupción sostenible
0.01,15,0,Corrupción sostenible
0.01,20,0,Corrupción sostenible
0.01,25,0,Corrupción sostenible
0.01,30,0,Corrupción sostenible
0.01,35,0,Corrupción sostenible
0.01,40,0,Corrupción sostenible
0.01,45,0,Corrupción sostenible
0.01,50,0,Corrupción sostenible
0.01,55,0,Corrupción sostenible
0.01,60,0,Corrupción sostenible
0.01,65,0,Corrupción sostenible
0.01,70,0,Corrupción sostenible
0.01,75,0,Corrupción sostenible
0.01,80,0,Corrupción sostenible
0.01,85,0,Corrupción sostenible
0.01,90,0,Corrupción sostenible
0.01,95,0,Corrupción sostenible
0.01,100,0,Corrupción sostenible
0.01,105,0,Corrupción sostenible
0.01,110,0,Corrupción sostenible
0.01,115,0,Corrupción sostenible
0.01,120,0,Corrupción sostenible
0.01,125,0,Corrupción sostenible
0.01,130,0,Corrupción sostenible
0.01,135,0,Corrupción sostenible
0.01,140,0,Corrupción sostenible
0.01,145,0,Corrupción sostenible
0.01,150,0,Corrupción sostenible
0.01,155,0,Corrupción sostenible
0.01,160,0,Corrupción sostenible
0.01,165,0,Corrupción sostenible
0.01,170,0,Corrupción sostenible
0.01,175,0,Corrupción sostenible
0.01,180,0,Corrupción sostenible
0.01,185,0,Corrupción sostenible
0.01,190,0,Corrupción sostenible
0.01,195,0,Corrupción sostenible
0.01,200,0,Corrupción sostenible
0.01,205,0,Corrupción sostenible
0.01,210,0,Corrupción sostenible
0.01,215,0,Corrupción sostenible
0.01,220,0,Corrupción sostenible
0.01,225,0,Corrupción sostenible
0.01,230,0,Corrupción sostenible
0.01,235,0,Corrupción sostenible
0.01,240,0,Corrupción sostenible
0.01,245,0,Corrupción sostenible
0.01,250,0,Corrupción sostenible
0.01,255,0,Corrupción sostenible
0.01,260,0,Corrupción sostenible
0.01,265,0,Corrupción sostenible
0.01,270,0,Corrupción sostenible
0.01,275,0,Corrupción sostenible
0.01,280,0,Corrupción sostenible
0.01,285,0,Corrupción sostenible
0.01,290,0,Corrupción sostenible
0.01,295,0,Corrupción sostenible
0.01,300,0,Corrupción sostenible
0.01,305,0,Corrupción sostenible
0.01,310,0,Corrupción sostenible
0.01,315,0,Corrupción sostenible
0.01,320,0,Corrupción sostenible
0.01,325,0,Corrupción sostenible
0.01,330,0,Corrupción sostenible
0.01,335,0,Corrupción sostenible
0.01,340,0,Corrupción sostenible
0.01,345,0,Corrupción sostenible
0.01,350,0,Corrupción sostenible
0.01,355,0,Corrupción sostenible
0.01,360,0,Corrupción sostenible
0.01,365,0,Corrupción sostenible
0.01,370,0,Corrupción sostenible
0.01,375,0,Corrupción sostenible
0.01,380,0,Corrupción sostenible
0.01,385,0,Corrupción sostenible
0.01,390,0,Corrupción sostenible
0.01,395,0,Corrupción sostenible
0.01,400,0,Corrupción sostenible
0.01,405,0,Corrupción sostenible
0.01,410,0,Corrupción sostenible
0.01,415,0,Corrupción sostenible
0.01,420,0,Corrupción sostenible
0.01,425,0,Corrupción sostenible
0.01,430,0,Corrupción sostenible
0.01,435,0,Corrupción sostenible
0.01,440,0,Corrupción sostenible
