p,sanction,expected_penalty,official_accept_payoff,official_prefers_accept,firms_willing_to_bribe,corruption_attempts,accepted_bribes,distorted_awards,honest_public_value,final_public_value,corruption_loss,loss_percentage,detection_cost,sanction_cost,institutional_cost,net_public_value
0.2,100,20.0,0.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,40.00000000000001,50.0,90.0,8107.046436923185
0.15,150,22.500000000000004,-2.5000000000000036,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,22.5,75.0,97.5,8099.546436923185
0.2,125,25.0,-5.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,40.00000000000001,62.5,102.5,8094.546436923185
0.1,200,20.0,0.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,10.000000000000002,100.0,110.0,8087.046436923185
0.15,175,26.250000000000004,-6.2500000000000036,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,22.5,87.5,110.0,8087.046436923185
0.25,100,25.0,-5.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,62.5,50.0,112.5,8084.546436923185
0.2,150,30.0,-10.0,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,40.00000000000001,75.0,115.0,8082.046436923185
0.1,225,22.5,-2.5,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,10.000000000000002,112.5,122.5,8074.546436923185
0.15,200,30.000000000000004,-10.000000000000004,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,22.5,100.0,122.5,8074.546436923185
0.25,125,31.25,-11.25,False,500,100,0,0,8197.046436923185,8197.046436923185,0.0,0.0,62.5,62.5,125.0,8072.046436923185
